id,Name,first_name,last_name,birth_date,canton_de,canton_fr,canton_it,party_de,party_fr,party_it,parl_group_de,parl_group_fr,parl_group_it,v20767,v21029,v22370,v23336,v23487,v23607,v24059,v24907,v25013,v25070,v25320,v25344,v25479,v26199,v25485,v25488,v25607,v25715,v25814,v26464,v26465,v26466,v26764,v26638,v26742
4154,Jean-Luc Addor,Jean-Luc,Addor,1964-04-22,Wallis,Valais,Vallese,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0
3867,Andreas Aebi,Andreas,Aebi,1958-11-26,Bern,Berne,Berna,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,5,5,5,5,5,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
4049,Matthias Aebischer,Matthias,Aebischer,1967-10-18,Bern,Berne,Berna,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4,1,4,1,1,1,1,1,4
4053,Thomas Aeschi,Thomas,Aeschi,1979-01-13,Zug,Zoug,Zugo,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4090,Céline Amaudruz,Céline,Amaudruz,1979-03-15,Genf,Genève,Ginevra,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,4,2,0,0,0,0,0,0
4320,Emmanuel Amoos,Emmanuel,Amoos,1980-07-31,Wallis,Valais,Vallese,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4245,Gerhard Andrey,Gerhard,Andrey,1976-01-21,Freiburg,Fribourg,Friburgo,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1
4184,Sibel Arslan,Sibel,Arslan,1980-06-23,Basel-Stadt,Bâle-Ville,Basilea-Città,Grüne (Basels starke Alternative),Grüne (Basels starke Alternative),Grüne (Basels starke Alternative),Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4304,Mustafa Atici,Mustafa,Atici,1969-10-02,Basel-Stadt,Bâle-Ville,Basilea-Città,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4246,Christine Badertscher,Christine,Badertscher,1982-01-11,Bern,Berne,Berna,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,4,4,4,1,1,1
