id,Name,first_name,last_name,birth_date,canton_de,canton_fr,canton_it,party_de,party_fr,party_it,parl_group_de,parl_group_fr,parl_group_it,v5066,v5078,v5093,v5317,v5318,v5584,v3655,v10SR,v18SR,v4SR
4187,Philippe Bauer,Philippe,Bauer,1962-04-09,Neuenburg,Neuchâtel,Neuchâtel,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,2,1,4,1,1,0,1,0,1,0
3871,Pirmin Bischof,Pirmin,Bischof,1959-02-24,Solothurn,Soleure,Soletta,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,4,1,1,0,1,1,0,4
4189,Thierry Burkart,Thierry,Burkart,1975-08-21,Aargau,Argovie,Argovia,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,4,4,1,1,1,0,1,0,1,0
4075,Andrea Caroni,Andrea,Caroni,1980-04-19,Appenzell A.-Rh.,Appenzell Rh.-Ext.,Appenzello Esterno,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,4,1,1,1,1,0,1,0,4,0
4325,Isabelle Chassot,Isabelle,Chassot,1965-03-28,Freiburg,Fribourg,Friburgo,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,4,1,1,0,2,0,NA,NA,NA,1
4159,Marco Chiesa,Marco,Chiesa,1974-10-10,Tessin,Tessin,Ticino,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,4,1,4,1,1,4,1,0,4,0
4332,Mathilde Crevoisier Crelier,Mathilde,Crevoisier Crelier,1980-01-05,Jura,Jura,Giura,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4151,Josef Dittli,Josef,Dittli,1957-04-11,Uri,Uri,Uri,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,1,1,1,1,1,0,1,1
4055,Stefan Engler,Stefan,Engler,1960-05-30,Graubünden,Grisons,Grigioni,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,1,0,1,1,1,0,1
4206,Erich Ettlin,Erich,Ettlin,1962-05-30,Obwalden,Obwald,Obvaldo,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,0,1,0,1,1,0,1
