id,Name,first_name,last_name,canton_de,canton_fr,canton_it,party_de,party_fr,party_it,council_de,council_fr,council_it,parl_group_de,parl_group_fr,parl_group_it
491,Pierre-Yves Maillard,Pierre-Yves,Maillard,Waadt,Vaud,Vaud,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Nationalrat,Conseil national,Consiglio nazionale,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista
1109,Gerhard Pfister,Gerhard,Pfister,Zug,Zoug,Zugo,Die Mitte,Le Centre,Alleanza del Centro,Nationalrat,Conseil national,Consiglio nazionale,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.
1122,Kurt Fluri,Kurt,Fluri,Solothurn,Soleure,Soletta,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,Nationalrat,Conseil national,Consiglio nazionale,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale
1138,Martin Bäumle,Martin,Bäumle,Zürich,Zurich,Zurigo,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Nationalrat,Conseil national,Consiglio nazionale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale
1139,Christa Markwalder,Christa,Markwalder,Bern,Berne,Berna,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,Nationalrat,Conseil national,Consiglio nazionale,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale
1142,Walter Wobmann,Walter,Wobmann,Solothurn,Soleure,Soletta,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Nationalrat,Conseil national,Consiglio nazionale,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro
1159,Pirmin Schwander,Pirmin,Schwander,Schwyz,Schwyz,Svitto,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Nationalrat,Conseil national,Consiglio nazionale,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro
1279,Roger Nordmann,Roger,Nordmann,Waadt,Vaud,Vaud,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Nationalrat,Conseil national,Consiglio nazionale,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista
1295,Edith Graf-Litscher,Edith,Graf-Litscher,Thurgau,Thurgovie,Turgovia,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Nationalrat,Conseil national,Consiglio nazionale,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista
1337,Ida Glanzmann-Hunkeler,Ida,Glanzmann-Hunkeler,Luzern,Lucerne,Lucerna,Die Mitte,Le Centre,Alleanza del Centro,Nationalrat,Conseil national,Consiglio nazionale,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.
