Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
Patricia von Falkenstein,Eher Ja,Ja,Ja,Eher Nein,Eher Ja,Ja,Eher Ja,Ja,Nein,Ja,Eher Nein,Keine Antwort,Nein,Nein
Tiana Angelina Moser,Ja,Eher Ja,Ja,Eher Ja,Ja,Eher Ja,Ja,Ja,Eher Ja,Eher Ja,Eher Ja,Ja,Eher Ja,Ja
Felix Wettstein,Ja,Ja,Ja,Nein,Ja,Eher Ja,Ja,Ja,Ja,Eher Ja,Eher Ja,Keine Antwort,Ja,Ja
Lisa Mazzone,Ja,Ja,Ja,Eher Ja,Ja,Eher Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Eher Ja
Daniel Jositsch,Ja,Ja,Ja,Nein,Eher Ja,Ja,Nein,Ja,Ja,Ja,Ja,Eher Ja,Eher Ja,Keine Antwort
Erich Ettlin,Ja,Eher Ja,Eher Ja,Eher Nein,Eher Ja,Ja,Ja,Ja,Eher Ja,Ja,Ja,Ja,Ja,Eher Ja
Matthias Samuel Jauslin,Ja,Ja,Nein,Nein,Eher Ja,Ja,Ja,Eher Nein,Ja,Ja,Eher Nein,Ja,Eher Nein,Keine Antwort
Kilian Baumann,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Eher Ja
Valentine Python,Eher ja,Ja,Ja,Eher Ja,Ja,Eher Ja,Ja,Eher Ja,Eher Ja,Eher Ja,Eher Ja,Ja,Ja,Eher Ja
Fabian Molina,Ja,Ja,Ja,Eher Ja,Ja,Eher Ja,Ja,Ja,Eher Ja,Ja,Ja,Ja,Ja,Ja
Stefania Prezioso Batou,Eher ja,Ja,Ja,Ja,Ja,Keine Antwort,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
Samuel Bendahan,Ja,Ja,Ja,Ja,Ja,Eher Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
Regine Sauter,Ja,Ja,Ja,Eher Nein,Ja,Ja,Ja,Eher Ja,Ja,Ja,Eher Nein,Eher Ja,Nein,Nein
Thomas Brunner,Eher ja,Ja,Eher Ja,Eher Nein,Ja,Eher Ja,Ja,Ja,Eher Nein,Ja,Keine Antwort,Keine Antwort,Eher Ja,Eher Ja
Philipp Matthias Bregy,Ja,Eher Ja,Nein,Eher Ja,Eher Ja,Ja,Ja,Eher Ja,Eher Nein,Ja,Eher Ja,Eher Ja,Nein,Eher Ja
Peter Schilliger,Ja,Eher Ja,Eher Nein,Eher Nein,Ja,Ja,Eher Ja,Eher Nein,Ja,Ja,Eher Ja,Eher Nein,Eher Ja,Eher Nein
Franz Grüter,Ja,Eher Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Eher Ja,Ja,Ja,Nein
Diana Gutjahr,Ja,Ja,Ja,Nein,Eher Nein,Nein,Nein,Eher Nein,Eher Nein,Eher Ja,Nein,Eher Nein,Nein,Nein
Barbara Schaffner,Ja,Ja,Eher Ja,Eher Ja,Ja,Eher Ja,Ja,Eher Ja,Ja,Ja,Eher Ja,Eher Nein,Eher Ja,Eher Ja
Christian Wasserfallen,Ja,Eher Nein,Eher Ja,Nein,Eher Ja,Ja,Ja,Eher Ja,Ja,Ja,Eher Nein,Ja,Ja,Nein
Céline Widmer,Ja,Ja,Ja,Ja,Ja,Eher Ja,Ja,Ja,Ja,Ja,Ja,Eher Ja,Ja,Ja
Sarah Wyss,Ja,Ja,Ja,Eher Ja,Ja,Eher Ja,Ja,Ja,Eher Nein,Ja,Eher Ja,Ja,Ja,Keine Antwort
Corina Gredig,Ja,Ja,Keine Antwort,Eher Ja,Ja,Ja,Ja,Ja,Nein,Ja,Eher Ja,Keine Antwort,Keine Antwort,Keine Antwort
Mattea Meyer,Ja,Ja,Ja,Eher Ja,Ja,Ja,Ja,Eher Ja,Ja,Eher Ja,Eher Ja,Ja,Ja,Eher Ja
Martina Munz,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Eher Nein,Ja,Ja,Ja,Ja,Eher Ja
